OBJECTID,Temperature,Pct_Canopy_1,Built_Environment_Index,Mean_Elevation,X_Coor,Y_Coor
38920,88,0.568,0,0.532,294718.6708,4634374.133
38095,87,0.077,0.1265531,0.54,294723.6133,4634297.732
29272,88,0.023,0.148886,0.627,294724.827,4633206.573
39195,88,0.077,0,0.54,294725.3603,4634396.77
29273,88,0.21,0.2472651,0.627,294740.5718,4633198.055
38371,88,0.44,0.2207016,0.532,294742.2358,4634315.254
38646,88,0.02,0.2522304,0.532,294743.1092,4634345.245
29022,88,0.024,0.191681,0.627,294743.3943,4633175.643
38096,87,0.748,0.1493239,0.532,294743.829,4634287.17
38921,88,0.419,0.1650883,0.532,294743.9825,4634375.236
28773,88,0.076,0.2723738,0.627,294746.8486,4633146.314
28525,88,0.004,0.1519513,0.627,294749.8849,4633120.418
41115,89,0.078,0.2757721,0.571,294750.9696,4634615.164
41391,89,0.083,0.494654,0.579,294752.0636,4634644.913
41666,89,0.044,0.4341329,0.579,294759.5624,4634666.165
28526,88,0.122,0.2255185,0.627,294767.311,4633113.887
28774,88,0.019,0.3516337,0.627,294768.1605,4633143.857
28278,88,0.076,0.008758,0.627,294768.9268,4633084.676
29023,88,0.026,0.394065,0.627,294769.0337,4633173.848
29274,88,0.142,0.354322,0.627,294770.3657,4633197.322
38097,88,0.023,0.4374621,0.532,294771.3535,4634284.389
38372,88,0.562,0.4169376,0.548,294772.2268,4634314.381
28032,88,0,0,0.627,294772.3246,4633055.029
38647,88,0.076,0.4894955,0.548,294773.1002,4634344.372
38922,88,0.008,0.6972932,0.548,294773.9736,4634374.363
39197,88,0.231,0.6054901,0.548,294774.8469,4634404.354
27786,88,0,0.0380973,0.627,294775.5974,4633026.474
39471,88,0.753,0.1267294,0.563,294775.7287,4634434.336
27541,88,0,0.1077234,0.643,294778.1198,4633005.897
40564,88,0.851,0.1557092,0.579,294779.4163,4634554.48
40840,89,0.939,0.1012631,0.595,294780.0872,4634584.3
41116,89,0.349,0.4918779,0.611,294780.9606,4634614.291
41392,89,0,0.5316353,0.595,294781.834,4634644.282
41667,89,0.032,0.6428472,0.595,294783.6903,4634673.127
41941,89,0,0.3621433,0.603,294793.0549,4634693.091
27787,88,0,0.1248015,0.627,294794.6589,4633023.02
27542,88,0.452,0,0.651,294795.1762,4632993.797
28033,88,0,0.3306145,0.627,294795.532,4633053.011
28279,88,0,0.3560127,0.619,294796.4052,4633083.002
28527,88,0.591,0.1900486,0.603,294797.2784,4633112.993
28775,88,0.536,0.3080938,0.611,294798.1515,4633142.984
27298,88,0.035,0.3783456,0.675,294798.8913,4632964.194
29024,88,0.061,0.3330356,0.611,294799.0247,4633172.975
29275,88,0.271,0.2737771,0.611,294800.3115,4633198.98
37823,88,0.371,0.5654027,0.548,294800.4712,4634253.525
38098,88,0.128,0.7986874,0.548,294801.3445,4634283.516
37549,88,0.721,0.2144296,0.54,294801.9098,4634227.739
38373,88,0.671,0.3610806,0.556,294802.2179,4634313.507
27055,88,0,0.2228911,0.667,294802.5169,4632935.494
38648,88,0.041,0.7328678,0.556,294803.0912,4634343.498
38923,88,0.098,0.5570076,0.563,294803.9646,4634373.489
39198,88,0.033,0.4599981,0.563,294804.838,4634403.48
26813,88,0.032,0,0.643,294805.2437,4632913.684
39472,88,0.111,0.1944276,0.587,294805.7113,4634433.471
39745,88,0.984,0,0.595,294806.5847,4634463.462
40018,88,0.04,0.1383944,0.595,294807.4581,4634493.453
40291,89,0.071,0.2295575,0.611,294808.3315,4634523.444
40565,89,0.001,0.4835986,0.627,294809.2049,4634553.435
40841,89,0.024,0.3743569,0.627,294810.0783,4634583.426
41117,89,0.052,0.2255499,0.619,294810.9517,4634613.417
41393,89,0.028,0.5480659,0.619,294811.8251,4634643.408
41668,89,0.048,0.6126024,0.611,294812.6985,4634673.399
41942,89,0,0.5434794,0.611,294815.6192,4634700.766
26814,88,0.044,0,0.635,294821.9633,4632902.7
27056,88,0.263,0.1085992,0.659,294822.0305,4632932.174
27299,88,0,0.4357105,0.659,294822.9036,4632962.165
27543,88,0.002,0.240845,0.643,294823.7768,4632992.156
27788,88,0,0.3533853,0.627,294824.6499,4633022.147
26572,88,0.076,0.0017516,0.635,294825.3015,4632873.238
28034,88,0.011,0.1812906,0.627,294825.5231,4633052.138
28280,88,0.067,0.1519513,0.611,294826.3962,4633082.129
42215,89,0,0.3936721,0.611,294826.5189,4634720.033
28528,88,0.974,0.1136608,0.603,294827.2694,4633112.12
28776,88,0.389,0.373853,0.595,294828.1426,4633142.111
26332,88,0,0.2951446,0.635,294828.8074,4632843.597
29025,88,0.163,0.3302249,0.595,294829.0157,4633172.102
37550,88,0.225,0.4411725,0.532,294829.5942,4634222.666
29276,88,0.527,0.2853165,0.587,294830.0247,4633199.518
37824,88,0.2,0.6603157,0.556,294830.4622,4634252.652
38099,88,0.42,0.5518916,0.563,294831.3355,4634282.643
26092,88,0.022,0.0954622,0.643,294831.3678,4632818.819
38374,88,0.996,0.1145532,0.571,294832.2089,4634312.634
38649,88,0.791,0.0994033,0.579,294833.0822,4634342.625
38924,88,0.021,0.2018719,0.579,294833.9556,4634372.616
39199,88,0,0.1585198,0.579,294834.829,4634402.607
39473,88,0.071,0.0578028,0.587,294835.7023,4634432.598
39746,88,1,0,0.611,294836.5757,4634462.589
40019,88,0.624,0.198312,0.627,294837.4491,4634492.58
40292,89,0.008,0.4538419,0.627,294838.3225,4634522.571
40566,89,0.02,0.3941898,0.627,294839.1959,4634552.562
40842,89,0.02,0.3248551,0.627,294840.0693,4634582.553
41118,89,0.04,0.4387954,0.643,294840.9427,4634612.544
41394,89,0.01,0.2171259,0.627,294841.8161,4634642.535
41669,89,0.034,0.4370242,0.627,294842.6895,4634672.526
41943,89,0,0.6252203,0.611,294843.5629,4634702.517
42216,89,0.086,0.3332114,0.611,294847.327,4634726.829
26093,89,0.297,0.3796758,0.627,294848.615,4632811.41
26333,89,0.172,0.2228911,0.619,294849.4021,4632841.327
26573,88,0,0.2417208,0.627,294850.2752,4632871.318
25854,88,0.013,0.1937211,0.627,294850.6373,4632782.191
26815,89,0,0.1230499,0.627,294851.1483,4632901.309
27057,89,0,0.2566094,0.643,294852.0215,4632931.3
27300,88,0,0.4313315,0.643,294852.8946,4632961.291
27544,88,0.03,0.1799769,0.643,294853.7678,4632991.282
25617,88,0.019,0.4181315,0.627,294854.1821,4632752.663
27789,88,0.22,0.018424,0.627,294854.6409,4633021.273
28035,88,0.88,0.0433521,0.611,294855.5141,4633051.264
28281,88,0.045,0.2399692,0.603,294856.3873,4633081.256
28529,88,0.876,0.0950243,0.595,294857.2604,4633111.247
25381,88,0,0.4379,0.627,294857.5336,4632724.98
28777,88,0.502,0.318291,0.595,294858.1336,4633141.238
29026,88,0.007,0.3164498,0.579,294859.0068,4633171.229
37551,88,0.072,0.416005,0.54,294859.5799,4634221.787
29277,88,0.895,0.0731923,0.579,294860.0298,4633199.691
25145,87,0,0.4379,0.635,294860.0438,4632704.693
37825,88,0.94,0.0411626,0.556,294860.4532,4634251.778
38100,88,0.62,0.3383698,0.579,294861.3266,4634281.769
38375,88,0.339,0.4374582,0.595,294862.1999,4634311.76
38650,88,0.421,0.5914867,0.595,294863.0733,4634341.751
38925,88,0.983,0.0118233,0.595,294863.9466,4634371.742
39200,88,0.941,0.0318429,0.603,294864.82,4634401.733
39474,88,0.727,0.1363389,0.611,294865.6934,4634431.724
39747,88,0.506,0.1642212,0.611,294866.5667,4634461.716
40020,89,0.148,0.3412095,0.627,294867.4401,4634491.707
