OBJECTID,Elevation_m,Pct_GreenSpace,Pct_Impervious,Pct_Canopy,Distance_from_water_m,POINT_X,POINT_Y
1,23.66,0,34.69,50,791.46,345081.9842,263337.462
2,28.95,0,95.67,40,578.64,340455.9997,271113.0528
3,12.27,54.18,17.29,91.88,433.4,355711.9058,269046.1238
4,23.22,0,61.24,50,74.69,359845.7644,275935.8876
6,11.91,0,84.48,50,493.88,352857.5749,265601.2416
7,22.64,0,99.19,30,518.88,357778.8351,271506.7538
9,41.6,0,0,100,293.22,340455.9997,276821.1456
11,27.31,0,82.68,50,384.82,338782.7714,266191.7929
12,18.93,0,83.07,50,102.63,360830.0163,277313.8406
13,38.52,0,82.83,30,534.95,340652.8503,263928.0133
14,25.82,0,71.53,40.78,864.71,346646.7875,266290.2179
15,14,0,100,40,91.34,351971.7483,275443.7617
16,2.37,98.24,72.34,50,11.99,356007.1815,267471.3206
17,47.81,0,42.57,68.37,470.48,354333.9589,275835.8876
18,3.14,0,93.95,50,303.43,357482.6388,256250.8476
19,69.62,100,0,100,375.02,337207.9681,265896.5173
20,20.21,100,0,100,70.67,361125.2917,273672.108
21,22.98,0,100,50,115.75,337011.1178,273475.2577
22,51.22,0,43.91,49.12,542.96,354235.5279,272884.7064
23,23.38,0,96.98,50,973.94,344885.1339,264233.289
25,3.39,0,68.67,40,100.79,345574.1102,270128.8008
27,19.98,0,100,30,628.42,347345.7638,263337.462
30,25.93,0,76.97,40,529.5,337601.6691,268553.9979
31,6.89,0,87.09,40,163.47,344294.5825,270620.9268
32,20.68,0,95.2,40,1079.53,351578.0473,262451.6354
33,28.67,0,58.86,51.73,629.88,343113.4803,271605.1788
35,45.17,0,66.42,40,709.46,341735.5273,272294.1554
36,24.28,0,93.2,30,184.81,343015.0549,268947.6985
37,21.99,0,84.48,40,1248.23,350396.945,264616.9897
38,14.88,0,77.77,50,97.04,350101.6694,255266.5956
39,25,0,81.37,30,139.82,343015.0549,273770.5334
41,25.25,0,55.64,30,348.38,344589.8582,272687.8561
42,16.29,0,0,55.09,69.93,359550.4887,277707.5412
44,3.97,0,98.95,50,90.06,355711.9058,267372.8952
45,4.99,0,58.43,30,73.55,351971.7483,271408.3284
46,10.37,0,90.66,40,442.62,349707.9687,269833.5252
47,13.12,0,87.98,30,849.68,350101.6694,268258.7222
48,40.99,0,84.05,30,465.26,341637.1023,270522.5018
49,51.46,100,0,50,138.4,339078.047,275739.0373
50,29.56,0,100,40,759.42,355711.9058,270916.2025
52,31.14,0,87,40,432.94,344196.1575,275935.8876
53,9.45,0,100,40,464.15,352956.0003,264912.2653
55,13.19,0,95.8,40,480.91,344393.0079,265896.5173
56,18.4,0,93.63,50,351.72,357089.8588,268849.2732
57,41.91,100,100,40,1082.61,356105.6065,272491.0057
58,24.42,0,63.67,40,812.42,343507.1809,264616.9897
59,24.35,0,95.53,40,542.35,348034.7401,277510.6909
60,11.52,65.05,47.76,76.71,18.47,350200.0947,254971.32
61,10.41,100,100,50,126.96,354530.8035,263928.0133
62,13.77,0,74.97,50,252.58,358467.8114,270817.7775
63,45,0,25.76,40,468.6,354038.6776,273770.5334
64,7.34,0,100,50,271.53,352562.2993,267865.0212
65,22.2,0,99.42,30,866.62,349117.4174,268553.9979
66,5.88,0,55.07,40,250.36,346755.2125,270325.6511
67,42,0,71.55,40,550.94,343507.1809,279479.1948
68,20.97,0,62.13,40,1192.93,350987.4963,262943.7614
69,22,0,100,40,1117.76,349806.3937,267372.8952
70,27.09,0,90.24,40,323.38,339274.8974,264715.415
71,14.96,0,69.08,50,223.62,353940.2522,264124.8637
72,20.21,0,97.99,40,1076.21,350003.2444,267176.0449
73,33.9,87.31,0,99.77,164.66,337798.5194,264124.8637
74,13.26,0,54.26,54.05,438.19,352956.0003,265404.3913
75,52.18,0,68.1,62.93,982.09,355908.7562,276329.5886
76,24.13,0,100,30,854.85,347345.7638,267471.3206
77,27.79,0,100,30,709.95,340357.5747,265798.092
78,18.87,0,95.23,40,761.76,352168.5986,263928.0133
80,22.02,0,15.38,40,555.85,344885.1339,262550.0604
81,14.15,2.66,58.87,80.04,81.21,360633.1657,272687.8561
82,20.33,0,42.52,69.29,650.12,352956.0003,263042.1864
83,1.83,0,99,50,29.3,353940.2522,267471.3206
84,23.65,0,26.56,50,353.75,337306.3934,269931.9505
85,2,0,100,20,185.32,352562.2993,269439.8245
86,20.02,0,73.08,50,71.71,360928.4413,276821.7146
