Observed_Temperature,Pct_Canopy,Mean_Elevation,Pct_Water,Pct_Green_Space,BEI_PC1,POINT_X,POINT_Y
86,0,0.701863354,0.006497296,0,0.025874063,351873.323,251132.7374
86,0.062107756,0.701863354,0,0.096286798,0.023790431,351971.7483,251132.7374
86,0.21088797,0.701863354,0,0.17261531,0.031439724,352070.1733,251132.7374
86,0,0.701863354,0,0,0.030766966,352168.5986,251132.7374
86,0,0.639751553,0.097041034,0,0.01805509,351578.0473,251231.1624
86,7.77909E-05,0.639751553,0.985886374,0.001209977,0.020421106,351676.4726,251231.1624
86,0.035116954,0.645962733,0.82848333,0.127945608,0.029551402,351774.898,251231.1624
85.99440087,0.437586986,0.621118012,0.19083098,0.568765586,0.015280502,351873.323,251231.1624
85.62882275,0.836536969,0.627329193,0,0.963821607,0.001223845,351971.7483,251231.1624
85.53973691,0.910535193,0.627329193,0,0.944512246,0.005147927,352070.1733,251231.1624
85.62496667,0.128856545,0.633540373,0,0.256977562,0.033012944,352168.5986,251231.1624
85.71053783,0,0.633540373,0,0,0.031831634,352267.024,251231.1624
86,0,0.677018634,0,0,0.032296062,351282.772,251329.5878
86,0.021246167,0.683229814,0,0.109417291,0.032981332,351381.197,251329.5878
85.99818555,0.376445841,0.689440994,0,0.445505182,0.024241809,351479.6223,251329.5878
85.95760821,0.580222461,0.695652174,0,0.674415504,0.014149653,351578.0473,251329.5878
85.98082235,0.558537243,0.701863354,0.05755289,0.900037121,0.005828939,351676.4726,251329.5878
86,0.732716171,0.708074534,0,0.998872664,5.54E-05,351774.898,251329.5878
85.8805499,0.999996667,0.658385093,0,0.999996667,0,351873.323,251329.5878
85,0.697521529,0.664596273,0,1,0,351971.7483,251329.5878
85,0.850044154,0.670807453,0,0.999996667,0,352070.1733,251329.5878
85,0.946774875,0.677018634,0,0.953522625,0.002879589,352168.5986,251329.5878
85,0.472018072,0.683229814,0,0.438013448,0.032135709,352267.024,251329.5878
85,0.39785554,0.689440994,0,0.001000989,0.028216967,352365.449,251329.5878
86,0,0.757763975,0,0,0.014261914,351184.3467,251428.0128
86,0.011991024,0.751552795,0,0.301652463,0.033788908,351282.772,251428.0128
86,0.458197206,0.745341615,0,0.931378267,0.012579253,351381.197,251428.0128
85.92524475,0.770572576,0.739130435,0,0.999996667,0,351479.6223,251428.0128
85.32465753,0.510117921,0.732919255,0,0.999993333,0,351578.0473,251428.0128
85.46872542,0.640749611,0.732919255,0,0.999996667,0,351676.4726,251428.0128
85.99997677,0.898908715,0.726708075,0,0.999996667,0,351774.898,251428.0128
85.55057397,0.507838883,0.689440994,0,0.999993333,0.001595699,351873.323,251428.0128
85,0.733594582,0.683229814,0,0.999996667,0.008843924,351971.7483,251428.0128
85,0.475992863,0.621118012,0,0.999993333,0.01303147,352070.1733,251428.0128
85,0.838607371,0.621118012,0,0.999996667,0.004470277,352168.5986,251428.0128
85,0.999996667,0.745341615,0,0.978301568,0,352267.024,251428.0128
85,0.933002464,0.739130435,0,0.365749051,0,352365.449,251428.0128
85,0.422420166,0.732919255,0,0,0.017181667,352463.8743,251428.0128
86,0,0.689440994,0,0.000114114,0.033471119,351085.9213,251526.4381
86,0.161064158,0.714285714,0,0.438109764,0.019460688,351184.3467,251526.4381
85.99373671,0.578071844,0.708074534,0,0.988616857,0.005050944,351282.772,251526.4381
85.53012039,0.352940164,0.701863354,0,0.999996667,0.021576572,351381.197,251526.4381
85.37051735,0.484788322,0.720496894,0,1,0.014926066,351479.6223,251526.4381
85.01977706,0.586140067,0.689440994,0,0.999996667,0.00387249,351578.0473,251526.4381
85,0.571693401,0.695652174,0,1,0.010108183,351676.4726,251526.4381
85.3533398,0.744012136,0.701863354,0,1,0.016619743,351774.898,251526.4381
85.04207592,0.591672701,0.708074534,0,0.999996667,0.012976513,351873.323,251526.4381
85.11412284,0.90893386,0.670807453,0,1,0.005119395,351971.7483,251526.4381
85.07596625,0.269780945,0.677018634,0.028655216,0.999996667,0.00235759,352070.1733,251526.4381
85,0.805697495,0.683229814,0.201270713,1,0.012786675,352168.5986,251526.4381
85,0.988052773,0.683229814,0,1,0.010777491,352267.024,251526.4381
85,0.999325707,0.714285714,0,0.991936543,0,352365.449,251526.4381
85,0.976550184,0.720496894,0,0.315311228,0.001754954,352463.8743,251526.4381
85,0.425736566,0.714285714,0,0,0.02288482,352562.2993,251526.4381
85.03562854,0.042306772,0.720496894,0,0,0.004057289,352660.7246,251526.4381
86,0.016845942,0.664596273,0,0.000481626,0.031340449,350987.4963,251624.8634
86,0.619595787,0.658385093,0,0.545734704,0.015006162,351085.9213,251624.8634
85.92680588,0.345469389,0.683229814,0,0.999999922,0,351184.3467,251624.8634
85.26035113,0.243634081,0.689440994,0,1,0,351282.772,251624.8634
85,0.691559732,0.689440994,0,0.999996667,0.001711716,351381.197,251624.8634
85,0.531617509,0.683229814,0,1,0.012692337,351479.6223,251624.8634
85,0.207240119,0.677018634,0,0.999996667,0.029338734,351578.0473,251624.8634
85,0.614531134,0.677018634,0,1,0.006883738,351676.4726,251624.8634
85,0.932675017,0.670807453,0.186326193,1,0,351774.898,251624.8634
85.00940814,0.533680337,0.664596273,0.530101134,0.999996667,0,351873.323,251624.8634
85.10674577,0.37835336,0.658385093,0.651073246,1,0,351971.7483,251624.8634
85,0.055903044,0.683229814,0.587152711,0.999996667,0,352070.1733,251624.8634
85,0.246727725,0.689440994,0.995195207,1,0,352168.5986,251624.8634
85,0.830256701,0.689440994,0.258044329,1,0.01338426,352267.024,251624.8634
85,0.994694729,0.689440994,0,0.999996667,0.009606508,352365.449,251624.8634
85,0.912171236,0.683229814,0,0.975315611,0.002476071,352463.8743,251624.8634
85,0.193147713,0.677018634,0,0.127513723,0.023327235,352562.2993,251624.8634
85.14682951,0.313622585,0.670807453,0,0,0.007887156,352660.7246,251624.8634
86,0.004490066,0.714285714,0,0,0.027737002,350889.071,251723.2884
86,0.086142915,0.701863354,0,0,0.029978082,350987.4963,251723.2884
86,0.732227587,0.689440994,0,0.364138255,0.046945477,351085.9213,251723.2884
85.40200866,0.999996667,0.695652174,0,0.997410214,0,351184.3467,251723.2884
85,0.649071626,0.664596273,0,0.999996667,0,351282.772,251723.2884
85,0.393968635,0.683229814,0,0.999993333,6.14E-05,351381.197,251723.2884
85,0.830229561,0.670807453,0,0.999996667,0.013626149,351479.6223,251723.2884
85,0.85287899,0.708074534,0,0.999993333,0.00628317,351578.0473,251723.2884
85,0.689083521,0.714285714,0.697118323,0.999996667,0,351676.4726,251723.2884
85,0.052161375,0.720496894,0.99970022,0.999996667,0,351774.898,251723.2884
85,0,0.614906832,0.999996667,0.999996667,0,351971.7483,251723.2884
85,0.439518737,0.652173913,0.839155987,0.999996667,0,352267.024,251723.2884
85,0.791332674,0.633540373,0.022479405,0.999993333,0.016942567,352365.449,251723.2884
85,0.462002631,0.639751553,0,0.999996667,0.01459979,352463.8743,251723.2884
85,0.278604531,0.645962733,0,0.418671071,0.018032618,352562.2993,251723.2884
85.21931027,0.101179888,0.627329193,0,0,0.028166117,352660.7246,251723.2884
86,0,0.670807453,0,0,0.031094062,350790.6457,251821.7137
86,0.09273239,0.670807453,0,0,0.038270999,350889.071,251821.7137
86,0.46361979,0.664596273,0,0,0.066922464,350987.4963,251821.7137
85.60154596,0.273901307,0.658385093,0,0.062952247,0.070446289,351085.9213,251821.7137
85.00729873,1,0.652173913,0,0.740696726,0.026743317,351184.3467,251821.7137
85,0.990802261,0.645962733,0,1,4.76E-05,351282.772,251821.7137
84.94352136,0.26772927,0.639751553,0,0.999996667,0.016242952,351381.197,251821.7137
84.47420516,0.893911789,0.714285714,0,1,0.004078004,351479.6223,251821.7137
85,0.999996667,0.708074534,0,0.999996667,0,351578.0473,251821.7137
85,0.692839357,0.701863354,0.63223531,1,0,351676.4726,251821.7137
85,0.002629581,0.664596273,1,1,0,352267.024,251821.7137
85,0.879514947,0.652173913,0.356265275,0.999996667,0.000254716,352365.449,251821.7137
85,0.236425335,0.645962733,0,1,0.018233795,352463.8743,251821.7137
85,0.103879832,0.714285714,0,0.632596603,0.012747605,352562.2993,251821.7137
85.18059978,0.408261654,0.708074534,0,0,0.026770936,352660.7246,251821.7137
86,0.000135683,0.689440994,0,0,0.028527404,350692.2207,251920.1387
86,0,0.633540373,0,0,0.058787514,350790.6457,251920.1387
86,0.347436437,0.633540373,0,0,0.050599132,350889.071,251920.1387
85.81512756,0.239522891,0.633540373,0,0.037766374,0.066116233,350987.4963,251920.1387
85.01179842,0.648435677,0.633540373,0,0.473242066,0.045681644,351085.9213,251920.1387
85,0.999996667,0.633540373,0,0.978672754,0.016377971,351184.3467,251920.1387
84.81691031,0.902553005,0.658385093,0,0.999996667,0.006619446,351282.772,251920.1387
84.20139175,0.914772834,0.670807453,0,0.999993333,0.006809362,351381.197,251920.1387
84.27249108,0.976364878,0.683229814,0,0.999996667,0,351479.6223,251920.1387
84.70335453,0.859977015,0.683229814,0,0.999993333,0,351578.0473,251920.1387
84.98997122,0.87343985,0.683229814,0.306845566,0.999996667,0,351676.4726,251920.1387
85,0.818812025,0.627329193,0.60117081,0.999993333,0,352365.449,251920.1387
85,0.435515786,0.627329193,0,0.999996667,0.012434701,352463.8743,251920.1387
85,0.47540807,0.757763975,0,0.836997218,0.008485236,352562.2993,251920.1387
85.13775052,0.70264303,0.757763975,0,0.014413962,0.017482906,352660.7246,251920.1387
86,0.088861982,0.881987578,0,0,0.029062627,350593.7953,252018.5641
86,0.738765478,0.888198758,0,0.08928203,0.021260873,350692.2207,252018.5641
86,0.220255997,0.894409938,0,0.610384221,0.066921097,350790.6457,252018.5641
85.99838366,0.073245342,0.881987578,0.036838414,0.146615888,0.056839852,350889.071,252018.5641
85.24838721,0.827964848,0.888198758,0.201053651,0.625721155,0.036966143,350987.4963,252018.5641
85,0.999979652,0.888198758,0,0.999968746,0,351085.9213,252018.5641
84.90008711,1,0.894409938,0,1,0,351184.3467,252018.5641
84.07527031,0.990362758,0.888198758,0,1,0.002647567,351282.772,252018.5641
84,0.780628015,0.894409938,0,0.999996667,0.012655699,351381.197,252018.5641
84.07082668,0.995131426,0.888198758,0,1,0,351479.6223,252018.5641
84,0.996496041,0.894409938,0,0.999996667,0,351578.0473,252018.5641
84,0.562078126,0.881987578,0.612541962,1,0,351676.4726,252018.5641
84.7270894,0.94214138,0.881987578,0.537511854,0.999996667,0,352365.449,252018.5641
84.98850065,0.557714808,0.881987578,0,1,0.001820066,352463.8743,252018.5641
85,0.101994781,0.875776398,0,0.961892998,0.012807653,352562.2993,252018.5641
85.1526692,0.184241476,0.881987578,0,0.093918583,0.025663844,352660.7246,252018.5641
86,0.378623862,0.869565217,0,0,0.010822798,352759.1499,252018.5641
86,0.18559761,0.670807453,0,0.037074148,0.021505868,350495.3703,252116.9894
86,0.880447555,0.701863354,0,0.077634966,0.005730868,350593.7953,252116.9894
86,0.84545045,0.695652174,0.135208328,0.118480443,0.035302858,350692.2207,252116.9894
86,0.987012364,0.689440994,0.306113655,0.289861746,0.008314214,350790.6457,252116.9894
85.63879579,0.559737684,0.677018634,0.665699275,0.492253111,0.000141156,350889.071,252116.9894
85,0.465649534,0.683229814,0.767001384,0.594141563,0,350987.4963,252116.9894
85,0.935658374,0.745341615,0.154817087,0.934048794,0,351085.9213,252116.9894
85,1,0.751552795,4.71921E-06,0.99999764,0,351184.3467,252116.9894
84.72621258,1,0.757763975,0.057262526,0.944944647,0,351282.772,252116.9894
84,0.849752511,0.763975155,0.01389003,0.999996667,0.007519874,351381.197,252116.9894
84,0.545098019,0.770186335,0,1,0.010203868,351479.6223,252116.9894
84,0.999996667,0.745341615,0.003756751,0.999996667,0,351578.0473,252116.9894
84,0.215415612,0.701863354,0.953013035,1,0,351676.4726,252116.9894
84,0.368596166,0.720496894,0.80837773,1,0,351971.7483,252116.9894
84,0.543882412,0.751552795,0.678545726,0.999996667,0,352070.1733,252116.9894
84,0.999996667,0.701863354,0.10672041,0.999996667,0,352365.449,252116.9894
84.1537846,0.644874517,0.695652174,0,1,0,352463.8743,252116.9894
84.8283282,0.042484186,0.689440994,0,0.999996667,0.013846982,352562.2993,252116.9894
85.04892741,0.450642235,0.714285714,0,0.267419109,0.021943664,352660.7246,252116.9894
85.99416379,0.243347139,0.720496894,0,0,0.015971744,352759.1499,252116.9894
86,0,0.770186335,0,0,0.015388707,350298.5197,252215.4144
86,2.95282E-05,0.795031056,0,0,0.030908687,350396.945,252215.4144
86,0.852904927,0.795031056,0,0.366105488,0.009663235,350495.3703,252215.4144
86,0.999993333,0.788819876,0,0.835264244,0,350593.7953,252215.4144
86,0.923565437,0.782608696,0.346875815,0.5233288,0,350692.2207,252215.4144
85.98016208,0.18717089,0.776397516,0.984340258,0.951006183,0,350790.6457,252215.4144
85.10030466,0.004803165,0.788819876,0.999996667,0.999996667,0,350889.071,252215.4144
85,0,0.782608696,0.999996667,0.999996667,0,350987.4963,252215.4144
85,0.093970495,0.788819876,0.991871126,0.999993333,0,351085.9213,252215.4144
85,0.650454929,0.795031056,0.738560603,0.583798024,0,351184.3467,252215.4144
84.35164238,0.818207109,0.801242236,0.782322741,0.595791455,0,351282.772,252215.4144
84,0.999993333,0.770186335,0.158187837,0.986328134,0,351381.197,252215.4144
84,0.715870211,0.763975155,0,0.999996667,0.012982289,351479.6223,252215.4144
84,0.992811094,0.776397516,0,0.999993333,0.000914361,351578.0473,252215.4144
84,0.818071754,0.782608696,0.481670262,0.999996667,0,351676.4726,252215.4144
84,0.558522624,0.795031056,0.602564641,0.999996667,0,351971.7483,252215.4144
84,0.95407973,0.801242236,0.059619052,0.999993333,0,352070.1733,252215.4144
84,0.625587148,0.795031056,0.808399691,0.999996667,0,352168.5986,252215.4144
84,0.938003442,0.782608696,0.242458343,0.999993333,0,352365.449,252215.4144
84,0.940073812,0.776397516,0,0.999996667,0,352463.8743,252215.4144
84.07429368,0.652568983,0.751552795,0,0.999993333,0.01446312,352562.2993,252215.4144
84.7679849,0.197064903,0.770186335,0,0.479021806,0.017336743,352660.7246,252215.4144
