OBJECTID,AAT_z,Pct_Canopy,Pct_Impervious,Pct_GreenSpace,Distance_from_water_m,Elevation_m,POINT_X,POINT_Y
9844,87.94,7.49,97.88,0.00,548.16,8.15,351578.05,268554.00
24387,87.91,55.29,67.21,0.00,9.12,25.92,338192.22,264616.99
15498,90.00,0.00,0.00,0.00,0.00,12.00,346459.94,259695.73
58743,89.00,29.04,75.86,0.00,598.03,14.95,350889.07,259203.60
18761,85.00,0.00,0.00,0.00,0.00,0.00,363093.23,257037.39
58063,84.17,26.09,85.78,0.00,54.19,11.14,350790.65,253298.09
17583,89.48,0.00,100.00,0.00,89.69,4.07,347739.46,272097.30
51029,87.00,38.00,68.07,0.00,144.35,15.61,346656.79,280955.57
21019,87.11,8.60,68.62,0.00,50.93,13.02,345967.81,256939.82
6169,88.15,47.34,88.78,0.00,459.37,13.55,347247.34,273278.41
35444,85.00,81.09,39.67,0.00,86.82,15.56,360436.32,274164.23
2660,88.99,5.25,71.88,0.00,97.13,11.83,341637.10,267569.75
37593,86.00,4.04,71.20,0.00,379.99,20.75,359452.06,274164.23
9718,88.00,60.98,95.95,0.00,911.98,24.18,346952.06,266782.34
9029,89.00,0.00,100.00,0.00,75.46,6.42,354432.38,264223.29
21536,89.07,19.13,93.35,0.01,239.02,28.66,338585.92,265601.24
36276,90.92,52.31,91.72,0.01,549.86,23.91,347345.76,269538.25
35299,88.00,92.72,31.57,0.01,0.00,21.30,343704.03,274164.23
45482,89.00,0.69,97.91,0.01,502.19,13.44,350396.95,258809.90
36540,86.00,58.01,93.90,0.01,42.13,3.74,359944.19,270916.20
52299,87.73,13.20,42.80,0.01,9.30,21.27,348231.59,281644.55
32573,86.00,10.37,49.89,0.01,277.77,29.72,359255.21,275148.49
11973,87.00,29.32,77.04,0.01,0.00,28.97,341538.68,276329.59
51056,89.00,0.30,78.06,0.01,853.49,20.00,352267.02,262057.93
48255,86.00,50.93,31.18,0.01,83.76,16.00,352857.57,256546.12
43168,87.83,0.00,25.63,0.01,528.99,44.94,354235.53,273573.68
47028,87.00,40.12,61.77,0.01,0.00,23.06,347542.61,282136.68
54589,89.00,0.00,82.53,0.01,295.10,26.89,346459.94,279676.05
53961,86.00,0.00,91.11,0.01,136.80,12.47,351113.04,251554.13
46267,88.00,17.61,81.45,0.01,243.75,15.33,346755.21,274164.23
5572,88.00,42.32,80.38,0.01,596.17,47.39,354432.38,271998.88
41134,88.00,36.62,99.91,0.01,716.48,17.45,353152.85,258613.05
29543,88.21,0.00,97.16,0.02,78.53,11.99,341538.68,267766.60
25295,89.00,0.17,81.22,0.02,169.55,6.54,347837.89,272392.58
50203,88.00,4.11,67.47,0.02,34.56,11.37,352562.30,279774.47
40061,88.00,54.12,42.88,0.02,31.79,19.35,348428.44,280857.15
6293,89.00,0.00,100.00,0.02,116.58,2.94,354333.95,264124.86
6276,89.00,8.44,83.06,0.02,475.97,25.01,347148.91,278494.94
16532,87.00,59.24,91.13,0.02,990.64,39.45,356007.18,271998.88
29718,87.01,41.90,71.32,0.02,260.64,29.66,353349.70,271703.60
46575,87.01,20.04,55.09,0.02,7.42,30.25,341440.25,276624.86
5243,89.00,45.23,74.71,0.02,400.81,23.84,345475.69,267865.02
46458,87.00,82.07,45.81,0.02,90.28,15.02,346263.09,281054.00
40259,87.00,35.58,84.33,0.03,927.80,43.47,355515.06,272392.58
35989,87.00,8.31,97.14,0.03,330.32,33.52,340751.28,274164.23
17521,91.00,5.08,96.78,0.03,105.47,17.25,352857.57,275148.49
9533,83.72,35.36,67.37,0.03,216.62,17.65,360239.47,273376.83
19207,88.00,99.91,0.00,0.03,0.00,9.46,341440.25,268652.42
55176,86.43,29.97,87.54,0.03,877.69,30.01,357778.84,281841.40
25698,89.00,4.21,99.39,0.04,0.00,1.40,353841.83,269144.55
566,88.00,7.36,68.58,0.04,438.14,26.44,338290.65,266388.64
2657,88.00,16.75,87.04,0.04,485.13,43.10,354432.38,271408.33
22814,86.77,65.27,46.77,0.04,98.63,32.38,337896.94,264321.71
29868,89.00,20.79,68.99,0.04,244.11,30.32,354629.23,269439.82
34360,88.00,23.20,99.85,0.05,585.80,41.76,354629.23,271703.60
1829,88.00,0.00,66.30,0.05,152.01,11.05,354137.10,280069.75
55026,86.00,1.68,85.31,0.05,104.84,13.68,351014.01,251651.59
11240,88.00,0.00,91.77,0.05,74.60,2.91,352365.45,270522.50
29786,85.00,7.91,86.99,0.05,325.80,19.92,359648.91,274262.66
29383,88.00,86.47,84.36,0.05,366.68,15.60,355515.06,268849.27
22207,87.96,0.00,0.00,0.05,0.00,1.69,355711.91,266880.77
42673,88.00,12.01,64.74,0.05,102.55,10.85,352365.45,278101.24
45208,87.30,93.47,0.00,0.05,48.06,8.58,349511.12,278593.37
21522,88.00,23.08,51.11,0.06,8.42,15.51,340849.70,269242.97
27697,88.00,0.00,98.50,0.06,515.82,8.28,351676.47,268455.57
25855,88.00,34.78,54.14,0.07,1.56,18.22,348034.74,280955.57
40439,88.00,10.94,90.55,0.07,447.14,16.05,348330.02,256447.70
42459,89.00,44.49,46.59,0.07,354.58,13.62,347050.49,273672.11
48472,88.00,10.34,100.00,0.07,268.65,22.03,354235.53,278691.79
10503,89.00,32.36,87.79,0.08,480.91,19.96,353054.43,264223.29
25514,87.00,20.18,100.00,0.08,193.92,4.29,352759.15,268061.87
21312,88.00,69.75,64.82,0.08,0.00,17.41,338389.07,271113.05
2388,85.00,0.00,0.00,0.08,270.19,75.51,337152.90,265237.01
26748,88.60,26.89,23.57,0.08,37.68,17.47,341833.95,268652.42
22191,89.00,42.69,95.06,0.08,905.22,24.91,346656.79,266093.37
37936,86.00,5.25,100.00,0.08,175.90,2.00,351578.05,270128.80
20687,85.00,34.98,87.25,0.08,160.75,19.66,360141.04,272589.43
20994,86.69,52.94,57.43,0.08,23.58,3.93,359747.34,270719.35
10009,88.00,0.00,99.45,0.08,113.77,11.89,352956.00,276920.14
52919,89.00,30.13,86.44,0.09,775.36,20.80,349609.54,262156.36
36335,88.00,28.33,61.16,0.09,0.00,21.70,343605.61,273770.53
40648,88.00,1.01,83.57,0.09,0.00,12.39,349117.42,279577.62
35682,86.00,5.67,53.35,0.10,507.01,42.30,339570.17,273376.83
9637,87.24,8.96,88.74,0.10,141.68,25.67,340062.30,268061.87
28790,87.03,17.34,72.54,0.10,636.03,27.21,355416.63,270620.93
1035,85.00,39.79,31.62,0.10,67.77,13.63,352346.94,251349.17
28085,89.00,15.63,34.96,0.10,64.42,11.54,341833.95,267569.75
41308,90.00,0.12,100.00,0.10,37.51,15.84,345672.54,259498.88
50960,87.06,91.43,23.78,0.11,12.59,20.63,348428.44,281349.27
42282,85.00,100.00,0.00,0.11,390.78,53.45,337896.94,274754.79
